mac,brand
C4-F1-22,Nexar Ltd
64-BE-63,STORDIS GmbH
0C-C6-FD,Xiaomi Communications Ltd
50-DA-D6,Xiaomi Communications Ltd
18-B9-6E,Dongguan Liesheng Electronic Ltd
54-69-90,Huawei Technologies Ltd
D8-0A-60,Huawei Technologies Ltd
3C-86-9A,Huawei Technologies Ltd
2C-27-68,Huawei Technologies Ltd
D0-78-80,Fiberhome Telecommunication Technologies Ltd
14-CB-65,Microsoft Corporation
34-08-E1,Texas Instruments
50-58-B0,Hunan Greatwall Computer System Ltd
E0-6C-F6,ESSENCORE limited
78-C6-2B,Fujian Star-NET Communication Ltd
D4-66-24,Cisco Systems Inc.
9C-90-19,Beyless
3C-E0-38,Omnifi Inc.
00-16-82,OMS Motion
D4-F9-8D,Espressif Inc.
04-CE-09,Shenzhen Skyworth Digital Technology Ltd
1C-86-9A,Samsung Electronics Ltd
D8-FB-D6,Amazon Technologies Inc.
9C-47-F9,LJU Automatisierungstechnik GmbH
70-A8-D3,Intel Corporation
2C-33-58,Intel Corporation
08-6A-E5,Amazon Technologies Inc.
A8-17-10,Bouffalo Lab (Nanjing) Ltd
20-62-96,Shenzhen Malio Technology Ltd
A0-80-69,Intel Corporation
A0-67-20,China Dragon Technology Limited
94-C9-B7,IEEE Registration Authority
60-56-99,Private
E8-EE-CC,Fantasia Trading LLC
5C-16-C7,Arista Networks
4C-E0-DB,Xiaomi Communications Ltd
7C-33-F9,Huawei Technologies Ltd
54-16-51,Ruijie Networks Ltd
70-87-A7,Murata Manufacturing Ltd
AC-04-25,ball-b GmbH Co KG
04-BD-97,Cisco Systems Inc.
F0-3A-4B,Bloombase Inc.
00-02-A3,Hitachi Energy Switzerland Ltd
38-F7-F1,Huawei Device Ltd
40-76-A9,Huawei Device Ltd
F4-38-C1,Huawei Device Ltd
28-EA-2D,Apple
20-9B-E6,Guangzhou Shiyuan Electronic Technology Company Limited
B8-E6-0C,Apple
48-35-2B,Apple
4C-E6-C0,Apple
38-88-A4,Apple
44-DA-30,Apple
84-16-0C,Broadcom Limited
74-E6-B8,LG Electronics
28-D0-F5,Ruijie Networks Ltd
94-18-65,Netgear
C8-9B-D7,Realme Chongqing Mobile Telecommunications Corp Ltd
28-B1-33,SHINEMAN(Shenzhen) Tech. Cor Ltd
D0-04-B0,Samsung Electronics Ltd
98-B0-8B,Samsung Electronics Ltd
A8-58-7C,Shoogee GmbH & Co. KG
9C-25-95,Samsung Electronics Ltd
90-F2-60,Shenzhen Honesty Electronics Ltd
18-89-CF,Tecno Mobile Limited
98-5F-4F,Tongfang Computer Ltd
34-F8-6E,Parker Hannifin Corporation
0C-AE-BD,Edifier International
6C-D8-69,Guangzhou Sat Infrared Ltd
38-1E-C7, Chipsea Technologies(Shenzhen) Corp.
08-92-04,Dell Inc.
40-67-9B,Shenzhen Skyworth Digital Technology Ltd
F0-A6-54,Cloud Network Technology Singapore PTE Ltd
3C-CF-B4,Telink Semiconductor (Shanghai) Ltd
04-3C-E8,Shenzhen SuperElectron Technology Ltd
A8-E6-21,Amazon Technologies Inc.
E8-31-CD,Espressif Inc.
88-D0-39,Tonly Technology Ltd
E8-F3-75,Nokia
10-37-11,Norbit ITS
EC-5C-84,Murata Manufacturing Ltd
C0-88-6D,Securosys SA
24-81-3B,Cisco Systems Inc.
C4-09-B7,Juniper Networks
0C-B8-E8,Renesas Electronics (Penang) Sdn. Bhd.
F8-D0-27,Seiko Epson Corporation
5C-66-6C,Guangdong Oppo Mobile Telecommunications Corp Ltd
4C-4B-F9,IEEE Registration Authority
1C-EA-0B,Edgecore Networks Corporation
44-EF-BF,China Dragon Technology Limited
B8-1F-5E,Apption Labs Limited
D8-12-65,Chongqing Fugui Electronics Ltd
4C-B4-4A,NANOWAVE Technologies Inc.
04-8C-9A,Huawei Device Ltd
EC-3C-BB,Huawei Device Ltd
8C-3A-7E,Universal Electronics Inc.
70-44-1C,Shenzhen Kaifa Technology Ltd
B4-7C-59,Jiangsu Hengxin Technology Ltd
30-0D-9E,Ruijie Networks Ltd
EC-FA-5C,Beijing Xiaomi Electronics Ltd
F8-B4-6A,Hewlett-Packard Company
BC-B0-E7,Huawei Technologies Ltd
54-34-EF,Huawei Technologies Ltd
88-D5-A8,Itel Mobile Limited
20-85-93,IEEE Registration Authority
AC-E3-42,Huawei Technologies Ltd
90-17-C8,Huawei Technologies Ltd
E4-92-2A,DBG Holdings Limited
2C-64-1F,Vizio Inc.
20-77-59,Optical Network Video Technologies (Shenzhen) Ltd
54-E7-D5,Sun Cupid Technology (HK) Ltd
18-90-88,eero Inc.
4C-56-DF,Targus US LLC
24-15-10,IEEE Registration Authority
6C-4D-51,Shenzhen Ceres Technology Ltd
88-9D-98,Allied-telesisK.K.
DC-F8-B9,ZTE Corporation
18-BF-1C,Jiangsu Huitong Group Ltd
AC-DE-48,Private
00-50-C7,Private
00-20-67,Private
48-01-C5,OnePlus Technology (Shenzhen) Ltd
B4-EE-25,Shenzhen Belon Technology Ltd
C8-2B-96,Espressif Inc.
98-52-3D,Sunitec Enterprise Ltd
D0-15-A6,Aruba Networks HP
00-01-63,Cisco Systems Inc.
20-5F-3D,Cambridge Communication Systems Ltd
04-81-9B,BSkyB Ltd
E0-00-84,Huawei Technologies Ltd
2C-A8-9C,Creatz Inc.
4C-DC-0D,Coral Telecom Limited
00-4E-01,Dell Inc.
C4-E1-A1,Guangdong Oppo Mobile Telecommunications Corp Ltd
AC-C3-58,Continental Automotive Czech Republic s.r.o.
3C-EC-EF,Super Micro Computer Inc.
18-55-E3,Apple
E4-50-EB,Apple
88-64-40,Apple
60-70-C0,Apple
F0-C3-71,Apple
64-FF-0A,Wistron Neweb Corporation
F0-99-19,Garmin International
00-00-DE,Cetia
F4-3E-66,Bee Computing (HK) Limited
DC-39-6F,AVM Audiovisuelles Marketing und Computersysteme GmbH
B4-C4-76,Wuhan Maritime Communication Research Institute
68-34-89,LEA Professional
B4-6C-47,Panasonic Appliances Company
44-42-2F,Testop Ltd
54-9C-27,Plasma Cloud Limited
D0-4E-50,Mobiwire Mobiles (NingBo) Ltd
94-BF-80,ZTE Corporation
98-7A-14,Microsoft Corporation
C8-3D-DC,Xiaomi Communications Ltd
9C-3A-9A,Shenzhen Sundray Technologies Company Limited
B0-B5-E8,Ruroc Ltd
04-D5-90,Fortinet Inc.
54-15-89,MCS Logic Inc.
84-57-33,Microsoft Corporation
00-24-23,Azurewave Technologies Inc.
8C-59-3C,IEEE Registration Authority
60-29-D5,DAVOLINK Inc.
50-97-44,Integrated Device Technology (Malaysia) Sdn. Bhd.
58-F3-9C,Cisco Systems Inc.
C4-41-1E,Belkin International Inc.
00-AD-63,Dedicated Micros Malta Ltd
E4-15-F6,Texas Instruments
AC-42-28,Parta Networks
F4-1D-6B,Huawei Technologies Ltd
7C-EC-9B,Fuzhou Teraway Information Technology Ltd
CC-90-70,Cisco Systems Inc.
28-41-C6,Huawei Technologies Ltd
38-01-18,ULVAC,Inc.
14-AD-CA,China Mobile Iot Limited Company
80-91-33,Azurewave Technologies Inc.
B4-F5-8E,Huawei Technologies Ltd
C4-8F-C1,Deeptrack S.L.U.
F8-23-87,Shenzhen Horn Audio Ltd
E8-28-C1,Eltex Enterprise Ltd
78-D3-47,Ericsson AB
A4-A1-79,Nanjing dianyan electric power automation Ltd
68-DB-67,Nantong Coship Electronics Ltd
18-19-D6,Samsung Electronics Ltd
BC-98-DF,Motorola Mobility LLC, a Lenovo Company
70-FC-8F,Freebox SAS
50-1B-32,Taicang T&W Electronics
98-0D-67,ZyXEL Communications Corp
00-02-D8,BRECIS Communications Corporation
B0-A6-F5,Xaptum Inc.
AC-F5-E6,Cisco Systems Inc.
DC-B0-82,Nokia
F8-C3-97,NZXT Corp Ltd
70-DD-A8,Guangdong Oppo Mobile Telecommunications Corp Ltd
4C-6F-9C,Guangdong Oppo Mobile Telecommunications Corp Ltd
78-2C-29,New H3C Technologies Ltd
BC-9F-E4,Aruba Networks HP
70-2E-80,DIEHL Connectivity Solutions
AC-A4-6E,Shenzhen Gongjin Electronics Ltd
C8-B4-22,Askey Computer Corp
94-EE-9F,HMD Global Oy
DC-2A-A1,MedHab LLC
E4-F3-E8,Shenzhen SuperElectron Technology Ltd
F4-32-3D,Sichuan tianyi kanghe Communications Ltd
F8-B7-97,NEC Platforms Ltd
B0-AA-D2,Sichuan tianyi kanghe Communications Ltd
10-93-97,ARRIS Group Inc.
50-75-F1,ARRIS Group Inc.
C4-65-16,Hewlett-Packard Company
E4-1E-0A,IEEE Registration Authority
CC-A1-2B,TCL King Electrical Appliances (Huizhou) Ltd
AC-00-D0,ZTE Corporation
E8-C4-17,Fiberhome Telecommunication Technologies Ltd
00-1E-A3,Nokia Danmark A/S
38-F3-2E,Skullcandy
98-1E-19,Sagemcom Broadband SAS
84-B8-66,Beijing XiaoLu technology Ltd
18-BC-5A,Zhejiang Tmall Technology Ltd
C4-C1-38,OWLink Technology Inc
AC-37-C9,RAID Incorporated
20-58-69,Ruckus Wireless
CC-37-AB,Edgecore Networks Corporation
14-22-DB,eero Inc.
C8-63-14,IEEE Registration Authority
24-31-54,Huawei Technologies Ltd
2C-58-E8,Huawei Technologies Ltd
70-CD-91,Teracom Telematica S.A
2C-18-75,Skyworth Digital Technology(Shenzhen) Ltd
D0-6E-DE,Sagemcom Broadband SAS
18-39-9C,Skorpios Technologies
94-C2-BD,Tecnobit
48-83-B4,Guangdong Oppo Mobile Telecommunications Corp Ltd
84-B8-B8,Motorola (Wuhan) Mobility Technologies Communication Ltd
D0-41-C9,Fiberhome Telecommunication Technologies Ltd
E8-01-8D,Fiberhome Telecommunication Technologies Ltd
10-A3-B8,Iskratel d.o.o.
E8-EC-A3,Dongguan Liesheng Electronic Ltd
08-A6-BC,Amazon Technologies Inc.
70-1E-68,Hanna Instruments Inc.
1C-B3-E9, Shenzhen Zhongke United Communication Technology
8C-96-5F,Shandong Zhongan Technology Ltd
C0-07-4A,Brita GmbH
E8-B2-FE,HUMAX Ltd
80-FD-7A,BLU Products Inc
00-17-FA,Microsoft Corporation
94-16-25,Apple
54-3B-30,duagon AG
40-F2-1C,DASAN Zhone Solutions
B0-BB-8B,Wavetel Technology Limited
34-A8-EB,Apple
94-BF-C4,Ruckus Wireless
A4-83-E7,Apple
F4-AF-E7,Apple
AC-88-FD,Apple
50-3E-7C,LeiShen Intelligent System Ltd
24-58-6E,ZTE Corporation
B4-A3-05,Xiamen Yaxon Network Ltd
80-3E-48,Shenzhen Gongjin Electronics Ltd
24-3F-30,Oxygen Broadband s.a.
3C-91-80,Liteon Technology Corporation
20-32-6C,Samsung Electronics Ltd
64-89-F1,Samsung Electronics Ltd
20-34-FB,Xiaomi Communications Ltd
A8-9C-ED,Xiaomi Communications Ltd
6C-A6-04,ARRIS Group Inc.
5C-F9-DD,Dell Inc.
D0-EC-35,Cisco Systems Inc.
10-AE-60,Private
BC-CF-4F,ZyXEL Communications Corp
C0-10-B1,HMD Global Oy
90-89-5F,Weifang Goertek Electronics Ltd
48-D8-45,Shenzhen Mainuoke Electronics Ltd
0C-E0-41,iDruide
B8-8F-B4,Jabil Circuit Italia S.R.L
00-52-C2,Peiker Acustic GmbH
8C-53-D2,China Mobile Group Device Ltd
D4-53-83,Murata Manufacturing Ltd
A0-42-46,IT Telecom Ltd
0C-F4-75,Zliide Technologies ApS
68-FF-7B,TP-Link Technologies Ltd
80-8F-1D,TP-Link Technologies Ltd
00-12-4E,XAC Automation Corp.
88-E0-34,Shinwa Industries(China) Ltd
48-BD-0E,Quanta Storage Inc.
00-0F-69,SEW Eurodrive GmbH & Co. KG
E4-58-E7,Samsung Electronics Ltd
00-10-4A,The Parvus Corporation
D0-58-C0,Qingdao Haier Multimedia Limited.
48-C3-B0,Pharos Ltd
DC-58-BC,Thomas-Krenn.AG
00-10-25,Grayhill Inc.
38-21-C7,Aruba Networks HP
A4-5F-9B,Nexell
70-EA-1A,Cisco Systems Inc.
80-8A-8B,Vivo Mobile Communication Ltd
98-44-B6,Infranor SAS
38-83-9A,Shenzhen RF-Link Technology Ltd
DC-67-23,barox Kommunikation GmbH
94-B4-0F,Aruba Networks HP
00-1A-1E,Aruba Networks HP
00-24-6C,Aruba Networks HP
20-1B-C9,Juniper Networks
C8-F6-C8,Fiberhome Telecommunication Technologies Ltd
1C-3B-8F,Selve GmbH & Co. KG
E4-E7-49,Hewlett-Packard Company
EC-C5-7F,Suzhou Pairlink Network Technology
38-C2-BA,Cctv Neotech
A0-F9-B7,Ademco Smart Homes Technology(Tianjin) Ltd
A8-3C-CB,Rossma
88-6F-D4,Dell Inc.
CC-3F-EA,BAE Systems Inc.
4C-F2-BF,Cambridge Industries(Group) Ltd
CC-9E-A2,Amazon Technologies Inc.
AC-43-30,Versa Networks
E8-5B-B7,Ample Systems Inc.
94-67-7E,Belden India Private Limited
AC-57-75,HMD Global Oy
D4-3A-2E,Shenzhen MTC Ltd
50-AD-92,NX Technologies
00-32-17,Cisco Systems Inc.
94-E0-D6,China Dragon Technology Limited
B4-A9-FC,Quanta Computer Inc.
6C-A9-36,DisplayLink (UK) Ltd
70-85-40,Skyworth Digital Technology(Shenzhen) Ltd
08-F1-EA,Hewlett Packard Enterprise
F0-0D-F5,ACOMA Medical Industry Ltd
68-45-F1,Toshiba Client Solutions Ltd
78-B2-13,DWnet Technologies(Suzhou) Corporation
58-C2-32,NEC Corporation
38-1D-14,Skydio Inc.
7C-DB-98,Askey Computer Corp
38-0B-3C,Texas Instruments
9C-8C-D8,Hewlett Packard Enterprise
A4-8C-C0,JLG Industries Inc.
3C-28-6D,Google Inc.
00-09-3A,Molex CMS
04-F9-D9,Speaker Electronic(Jiashan) Ltd
DC-08-0F,Apple
F8-E9-4E,Apple
EC-2C-E2,Apple
40-BC-60,Apple
E8-36-17,Apple
9C-64-8B,Apple
34-42-62,Apple
14-D0-0D,Apple
88-D2-11,Eko Devices Inc.
B8-C2-27,PSTec
74-F7-37,KCE
48-A4-93,Taiyo Yuden Ltd
E8-2C-6D,SmartRG Inc.
48-E6-95,Insigma Inc
B4-79-C8,Ruckus Wireless
B4-0B-78,Brusa Elektronik AG
C0-3D-D9,MitraStar Technology Corp.
2C-AA-8E,Wyze Labs Inc
70-3A-51,Xiaomi Communications Ltd
DC-48-B2,Baraja Pty Ltd
18-1E-95,AuVerte
0C-95-41,Chipsea Technologies (Shenzhen) Corp.
3C-37-86,Netgear
48-35-2E,Shenzhen Wolck Network Product Ltd
04-E5-98,Xiaomi Communications Ltd
B8-2C-A0,Resideo
6C-C7-EC,Samsung Electro-Mechanics(Thailand)
B0-33-A6,Juniper Networks
D8-96-85,GoPro
C0-BD-C8,Samsung Electronics Ltd
64-7B-CE,Samsung Electronics Ltd
A8-87-B3,Samsung Electronics Ltd
6C-00-6B,Samsung Electronics Ltd
00-10-60,Billionton Systems Inc.
C4-D4-89,JiangSu Joyque Information Industry Ltd
B4-F9-49,optilink networks pvt Ltd
E4-3C-80,University Of Oklahoma
3C-2C-30,Dell Inc.
70-6D-15,Cisco Systems Inc.
A4-A1-E4,Innotube Inc.
94-EA-EA,Tellescom Industria E Comercio EM Telecomunicacao
1C-FD-08,IEEE Registration Authority
B8-59-9F,Mellanox Technologies Inc.
30-13-89,Siemens AG, Automations & Drives
98-D3-E7,Netafim L
F0-63-F9,Huawei Technologies Ltd
7C-C3-85,Huawei Technologies Ltd
90-0E-B3,Shenzhen Amediatech Technology Ltd
54-9F-AE,iBASE Gaming Inc
54-80-28,Hewlett Packard Enterprise
54-06-8B,Ningbo Deli Kebei Technology Ltd
60-CE-92,The Refined Industry Company Limited
10-5B-AD,Mega Well Limited
74-BF-C0,Canon Inc.
C8-D9-D2,Hewlett-Packard Company
24-FC-E5,Samsung Electronics Ltd
80-96-21,Lenovo
78-05-5F,Shenzhen WYC Technology Ltd
00-EA-BD,Cisco Systems Inc.
48-87-2D,Shen Zhen DA XIA Long QUE Technology Ltd
E8-1A-58,Technologic Systems
C0-BF-A7,Juniper Networks
F0-54-94,Honeywell Connected Building
5C-C9-99,New H3C Technologies Ltd
B0-2A-43,Google Inc.
C4-74-F8,Hot Pepper Inc.
14-22-33,Fiberhome Telecommunication Technologies Ltd
74-34-00,MTG Ltd
DC-37-57,Integrated Device Technology (Malaysia) Sdn. Bhd.
00-50-99,3Com Europe Ltd
04-BC-87,Shenzhen JustLink Technology Ltd
54-C3-3E,Ciena Corporation
EC-79-F2,Startel
BC-B2-2B,EM-Tech
D4-AB-82,ARRIS Group Inc.
70-4F-B8,ARRIS Group Inc.
00-60-EB,Fourthtrack Systems
18-62-E4,Texas Instruments
60-35-C0,SFR
C4-98-5C,Hui Zhou Gaoshengda Technology Ltd
30-A1-FA,Huawei Technologies Ltd
24-2E-90,Palit Microsystems Ltd
9C-AA-1B,Microsoft Corporation
A8-9A-93,Sagemcom Broadband SAS
00-1A-C5,Keysight Technologies Inc.
00-20-1E,Netquest Corporation
64-62-8A,evon GmbH
04-15-D9,Viwone
EC-B3-13,Shenzhen Gongjin Electronics Ltd
B0-8B-CF,Cisco Systems Inc.
00-60-8C,3Com Corporation
00-A0-24,3Com Corporation
00-20-AF,3Com Corporation
00-10-4B,3Com Corporation
A8-5A-F3,Shanghai Siflower Communication Technology Ltd
70-FD-46,Samsung Electronics Ltd
8C-83-E1,Samsung Electronics Ltd
88-9F-6F,Samsung Electronics Ltd
5C-63-C9,Intellithings Ltd
0C-96-E6,Cloud Network Technology (Samoa) Limited
3C-89-94,BSkyB Ltd
E0-0E-E1,We Corporation Inc.
00-0C-43,Ralink Technology, Corp.
8C-92-46,Oerlikon Textile GmbH&Co.KG
00-0E-94,Maas International BV
48-98-CA,Sichuan AI-Link Technology Ltd
24-7E-51,ZTE Corporation
E8-B5-41,ZTE Corporation
0C-9D-92,ASUSTek Computer Inc.
98-8E-D4,Itel Mobile Limited
E8-A7-88,Xiamen Leelen Technology Ltd
58-2D-34,Qingping Electronics (Suzhou) Ltd
20-DE-88,IC Realtime LLC
F4-06-8D,devolo AG
00-1A-31,Scan Coin AB
00-1B-84,Scan Engineering Telecom
48-2C-A0,Xiaomi Communications Ltd
34-12-F9,Huawei Technologies Ltd
BC-E2-65,Huawei Technologies Ltd
4C-D1-A1,Huawei Technologies Ltd
88-BF-E4,Huawei Technologies Ltd
40-17-E2,Intai Technology Corp.
0C-CB-85,Motorola Mobility LLC, a Lenovo Company
A4-E6-15,Shenzhen Chuangwei-RGB Electronics Ltd
74-1F-79,Youngkook Electronics Ltd
A0-93-51,Cisco Systems Inc.
98-03-9B,Mellanox Technologies Inc.
20-89-84,Compal Information (Kunshan) Ltd
B4-CE-FE,James Czekaj
F8-CC-6E,DEPO Electronics Ltd
F8-36-9B,Texas Instruments
88-AE-1D,Compal Information (Kunshan) Ltd
B8-88-E3,Compal Information (Kunshan) Ltd
28-9E-FC,Sagemcom Broadband SAS
00-C0-55,Modular Computing Technologies
E4-1F-E9,Dunkermotoren GmbH
C4-51-8D,Shenzhen YOUHUA Technology Ltd
48-68-34,Silicon Motion Inc.
00-11-33,Siemens AG Austria
00-0B-23,Siemens Home & Office Comm. Devices
64-13-31,Bosch Car Multimedia (Wuhu) Ltd
18-3A-48,VostroNet
78-2F-17,Xlab Ltd
B0-02-7E,Muller Services
24-FA-F3,Shanghai Flexem Technology Ltd
88-D2-BF,German Autolabs
20-16-3D,Integrated Device Technology (Malaysia) Sdn. Bhd.
E0-73-5F,Nucom
00-51-ED,LG Innotek
40-DC-9D,Hajen
34-0A-98,Huawei Technologies Ltd
64-6D-6C,Huawei Technologies Ltd
C4-B8-B4,Huawei Technologies Ltd
F0-BC-C9,PFU Limited
48-75-83,Intellion AG
90-4C-81,Hewlett Packard Enterprise
8C-35-79,QDIQO Sp. z o.o.
38-C7-0A,WiFiSong
D8-76-0A,Escort Inc.
5C-2E-D2,ABC(XiSheng) Electronics Ltd
FC-FB-FB,Cisco Systems Inc.
00-7E-95,Cisco Systems Inc.
9C-5A-44,Compal Information (Kunshan) Ltd
14-CA-A0,Hu & Co
08-D4-6A,LG Electronics (Mobile Communications)
00-10-17,Bosch Access Systems GmbH
F4-EE-14,Mercury Communication Technologies Ltd
6C-59-40,Mercury Communication Technologies Ltd
D0-25-16,Mercury Communication Technologies Ltd
1C-60-DE,Mercury Communication Technologies Ltd
D8-24-77,Universal Electric Corporation
00-90-7F,WatchGuard Technologies Inc.
4C-5E-0C,Routerboard.com
D4-CA-6D,Routerboard.com
00-14-72,China Broadband Wireless IP Standard group(ChinaBWIPS)
80-B5-75,Huawei Technologies Ltd
A4-BE-2B,Huawei Technologies Ltd
68-E7-C2,Samsung Electronics Ltd
58-B1-0F,Samsung Electronics Ltd
40-06-A0,Texas Instruments
F8-2D-C0,ARRIS Group Inc.
18-9C-27,ARRIS Group Inc.
3C-F5-CC,New H3C Technologies Ltd
D0-8A-91,Technicolor CH USA Inc.
28-11-A5,Bose Corporation
D8-F3-DB,Post CH AG
DC-B4-AC,Flextronics Manufacturing(Zhuhai) Ltd
A4-92-CB,Nokia
C0-D2-F3,Hui Zhou Gaoshengda Technology Ltd
B8-83-03,Hewlett Packard Enterprise
20-3D-BD,LG Innotek
A4-53-85,Weifang Goertek Electronics Ltd
00-40-2F,Xlnt Designs Inc.
04-EC-BB,Fiberhome Telecommunication Technologies Ltd
64-A2-F9,OnePlus Technology (Shenzhen) Ltd
A8-7D-12,Huawei Technologies Ltd
D4-21-22,Sercomm Corporation.
00-C0-02,Sercomm Corporation.
BC-99-11,ZyXEL Communications Corp
28-02-45,Konze System Technology Ltd
E4-8F-65,Yelatma Instrument Making Enterprise, JSC
00-00-A8,Stratus Technologies
00-04-FC,Stratus Technologies
3C-24-F0,IEEE Registration Authority
00-BB-3A,Amazon Technologies Inc.
0C-B3-4F,Shenzhen Xiaoqi Intelligent Technology Ltd
3C-F4-F9,Moda-InnoChips
94-19-3A,Elvaco AB
C0-81-35,Ningbo Forfan technology Ltd
84-0D-8E,Espressif Inc.
00-20-82,Oneac Corporation
B4-C0-F5,Shenzhen TINNO Mobile Technology Corp.
40-62-31,Gifa
FC-B7-F0,Idaho National Laboratory
2C-28-B7,Hangzhou Ruiying technology Ltd
10-65-30,Dell Inc.
04-6B-1B,SysDINE Ltd
B0-A3-7E,Qing DAO Haier Telecom Ltd
3C-EA-F9,Jubix Ltd
58-DB-15,Tecno Mobile Limited
50-50-CE,Hangzhou Dianyixia Communication Technology Ltd
FC-69-47,Texas Instruments
E0-7D-EA,Texas Instruments
DC-DE-4F,Gionee Communication Equipment Ltd
4C-D0-CB,Huawei Technologies Ltd
50-5D-AC,Huawei Technologies Ltd
E8-FA-F7,Guangdong Uniteddata Holding Group Ltd
94-9D-57,Panasonic do Brasil Limitada
88-D3-7B,FirmTek LLC
1C-66-6D,Hon Hai Precision Ind Ltd
84-F3-EB,Espressif Inc.
00-1B-48,Shenzhen Lantech Electronics Ltd
00-25-0C,Senet Inc
0C-80-63,TP-Link Technologies Ltd
00-72-78,Cisco Systems Inc.
64-5A-ED,Apple
C0-B6-58,Apple
48-A9-1C,Apple
50-BC-96,Apple
FC-2A-9C,Apple
68-2C-7B,Cisco Systems Inc.
44-1E-98,Ruckus Wireless
A0-56-F3,Apple
54-99-63,Apple
90-DD-5D,Apple
DC-29-19,AltoBeam (Xiamen) Technology Ltd
88-5F-E8,IEEE Registration Authority
00-2F-D9,Fiberhome Telecommunication Technologies Ltd
B4-CD-27,Huawei Technologies Ltd
C8-19-F7,Samsung Electronics Ltd
64-C3-D6,Juniper Networks
00-A0-21,General Dynamics Mission Systems
F0-AF-50,Phantom Intelligence
C4-2C-4F,Qingdao Hisense Mobile Communication Technology Ltd
24-CA-CB,Fiberhome Telecommunication Technologies Ltd
54-3E-64,Fiberhome Telecommunication Technologies Ltd
64-02-CB,ARRIS Group Inc.
F4-E1-1E,Texas Instruments
38-80-DF,Motorola Mobility LLC, a Lenovo Company
BC-6A-2F,Henge Docks LLC
0C-08-B4,HUMAX Ltd
00-27-05,Sectronic
48-BD-3D,New H3C Technologies Ltd
18-4C-08,Rockwell Automation
DC-02-65,Meditech Kft
14-A7-2B,currentoptronics Pvt Ltd
A4-DA-22,IEEE Registration Authority
3C-17-10,Sagemcom Broadband SAS
DC-72-9B,Huawei Technologies Ltd
90-94-97,Huawei Technologies Ltd
34-02-9B,Plexonics Technologies LImited
90-03-72,Longnan Junya Digital Technology Ltd
0C-C6-CC,Huawei Technologies Ltd
78-58-60,Huawei Technologies Ltd
E8-AB-F3,Huawei Technologies Ltd
3C-DC-BC,Samsung Electronics Ltd
80-4E-70,Samsung Electronics Ltd
D4-E6-B7,Samsung Electronics Ltd
8C-4C-AD,Evoluzn Inc.
8C-F9-57,RuiXingHengFang Network (Shenzhen) Ltd
4C-77-6D,Cisco Systems Inc.
74-E1-82,Texas Instruments
44-9E-F9,Vivo Mobile Communication Ltd
6C-C4-D5,HMD Global Oy
80-C5-48,Shenzhen Zowee Technology Ltd
10-C2-5A,Technicolor CH USA Inc.
E8-DE-FB,Mesotic SAS
C4-00-AD,Advantech Technology (CHINA) Ltd
94-FE-9D,Shenzhen Gongjin Electronics Ltd
6C-B6-CA,DivUS GmbH
04-D1-3A,Xiaomi Communications Ltd
4C-C2-06,Somfy
04-09-73,Hewlett Packard Enterprise
34-99-D7,Universal Flow Monitors Inc.
0C-8B-D3,Itel Mobile Limited
C0-A8-F0,Adamson Systems Engineering
9C-43-1E,IEEE Registration Authority
00-24-AF,Dish Technologies Corp
28-2C-02,IEEE Registration Authority
FC-A1-83,Amazon Technologies Inc.
6C-2A-CB,Paxton Access Ltd
58-3B-D9,Fiberhome Telecommunication Technologies Ltd
DC-A2-66,Hon Hai Precision Ind Ltd
C4-84-66,Apple
34-7C-25,Apple
CC-2D-B7,Apple
A0-BD-CD,BSkyB Ltd
BC-91-B5,Infinix mobility limited
28-2F-C2,Automotive Data Solutions
98-00-74,Raisecom Technology Ltd
18-C1-9D,Integrated Device Technology (Malaysia) Sdn. Bhd.
0C-98-38,Xiaomi Communications Ltd
74-EA-CB,New H3C Technologies Ltd
D4-1A-3F,Guangdong Oppo Mobile Telecommunications Corp Ltd
D8-B1-22,Juniper Networks
B4-C7-99,Extreme Networks Inc.
64-6E-6C,Radio Datacom LLC
E8-8E-60,NSD Corporation
00-0F-9B,Ross Video Limited
00-24-BA,Texas Instruments
60-51-2C,TCT mobile Ltd
64-DB-81,Syszone Ltd
44-AD-19,Xingfei (H.K)Limited
38-AD-BE,New H3C Technologies Ltd
5C-AD-76,Shenzhen TCL New Technology Ltd
5C-86-5C,Samsung Electronics Ltd
04-F1-28,HMD Global Oy
04-B1-67,Xiaomi Communications Ltd
EC-83-50,Microsoft Corporation
D0-07-CA,Juniper Networks
1C-DF-52,Texas Instruments
30-C5-07,ECI Telecom Ltd
C8-45-8F,Wyler AG
00-1B-B9,Elitegroup Computer Systems Ltd
00-24-61,Shin Wang Tech.
0C-52-03,AGM Group Limited
2C-54-91,Microsoft Corporation
38-17-C3,Hewlett Packard Enterprise
00-1E-1D,East Coast Datacom Inc.
78-46-C4,Daehap Hyper-Tech
5C-E2-8C,ZyXEL Communications Corp
E4-BD-4B,ZTE Corporation
38-D7-CA,7HUGS Labs
00-01-44,Dell EMC
08-00-1B,Dell EMC
7C-01-0A,Texas Instruments
E4-2B-34,Apple
3C-2E-F9,Apple
A0-4E-A7,Apple
F0-98-9D,Apple
FC-D6-BD,Robert Bosch GmbH
70-1F-53,Cisco Systems Inc.
18-39-6E,Sunsea Telecommunications Ltd
EC-7D-11,Vivo Mobile Communication Ltd
48-0E-EC,TP-Link Technologies Ltd
50-3E-AA,TP-Link Technologies Ltd
58-00-BB,Juniper Networks
48-BA-4E,Hewlett-Packard Company
